명칭,주소,위도,경도,개요,영업시간,쉬는날,상세정보,카테고리
이태원시장,서울특별시 용산구 이태원로14길 6,37.533811033,126.9900264524,이태원 시장은 대한민국 서울특별시 용산구 이태원동에 위치한 대표적인 시장 중 하나이다. 이태원은 다양한 문화와 다국적인 분위기가 어우러진 지역으로 유명하며 이곳의 시장도 그 다양성을 반영하고 있다. 이태원 시장에는 전통적인 한국의 소품부터 현대적이고 유니크한 디자인의 제품까지 다양한 상점들이 즐비해 있어 의류 액세서리 가구 공예품 등을 살펴보며 독특한 제품을 찾을 수 있으며 이태원은 다양한 국적의 사람들이 모여 사는 지역이기 때문에 다양한 나라의 음식을 즐길 수 있는 레스토랑과 카페가 많아 이색적인 체험이 가능하다.,점포마다 상이,점포마다 상이,제조자 이름: 입점브랜드:,쇼핑
센트럴시티,서울특별시 서초구 신반포로 176 (반포동),37.505372917,127.0038037796,센트럴시티는 서울시 강남구 반포동에 위치해 있다. 신세계 백화점 메리어트 호텔을 비롯하여 휴식공간인 센트럴파크가 자리하고 있고 예식장과 대형 행사를 치를 수 있는 밀레니엄 홀과 은행 병원 증권 우체국 등의 편의시설 및 대형주차 공간도 갖추어져 있어 복합문화시설로 한국의 건축 문화를 한 차원 높이는 수준의 복합 건물로 평가되고 있다. 또한 센트럴시티 안에는 고품격 명품 쇼핑몰 마르퀴스 플라자 다양한 장르의 음반을 취급하는 신나라 레코드 초대형 문고센터 영풍문고 세계적으로 대 유행인 선진국형 멀티플렉스 센트럴 6 시네마와 시뮬레이션을 비롯한 첨단 오락시설을 갖춘 도심형 테마파크 등이 자리 잡고 있다.,매장에 따라 다름,매장에 따라 다름,,쇼핑
디아프바인,서울특별시 강남구 언주로172길 15,37.5278375378,127.0351669551,2002년 가을에 디자이너 김승래에 의해 설립되었으며 당시 스트리트 씬의 미개척지였던 국내에서 최초로 론칭된 브랜드이다. 현재에 이르기까지 미국 유럽 일본에서 생산되는 품질 좋은 원단 및 각종 부자재등을 과감히 도입하며 품질향상을 위해 끊임없이 노력하는 도전 정신과 퀄리티로 인정받으며 국내신을 리드해 가고 있다. 특히 국내 레더재킷 장르에서는 전문성과 다양성으로 타의 추종을 불허하며 월드와이드 전개를 목표로 다가오는 또 다른 10년을 위해 나아가고 있다.,16:00~19:30 토요일은 오픈시간이 격주로 상이하므로 전화 문의 바람,매주 일요일,입점브랜드:자사 브랜드,쇼핑
금강제화 명동본점,서울특별시 중구 명동8길 30 (명동2가),37.5624659415,126.984681684,금강제화는 제화뿐 아니라 스포츠화 캐주얼슈즈 및 패션 액세서리 등을 생산하는 패션 브랜드로 전국에 많은 대리점을 보유하고 있다. 그중 금강제화 명동본점은 명동거리 중심가에 자리 잡고 있어 외국 관광객들이 많이 방문하는 매장이다. 이 매장의 경우 Regal(리갈) 브랜드의 남성 정장화 여성 정장화 핸드백 지갑 액세서리 등이 인기가 많다. 또한 신발 사이즈가 너무 크거나 작아 제품 구매에 애로사항이 있는 고객들을 위해 빅 앤 스몰 매장이 구비되어 있으며 고객의 별도 주문 제작도 가능하다.,월요일~목요일 10:30~20:00 금요일~일요일 10:30~20:30,연중무휴,제조자 이름: 입점브랜드: 장애인 편의시설:,쇼핑
프리스비 (Frisbee) 건대점,서울특별시 용산구 한강대로 283 8 (갈월동),37.5435845686,126.9716472947,프리스비 건대점은 국내 최대 Apple 프리미엄 리셀러 매장이다. 최대 규모와 전문성을 자랑하는 No.1 Apple 프리미엄 매장으로 애플의 최신 제품을 가장 먼저 만날 수 있는 체험형 스토어의 선두주자이다. 프리스비는 Apple에서 공식으로 인증을 받은 유통 채널이다. 오프라인의 경우 공식인증 리셀러 프리미엄 리셀러 숍으로 유형이 나뉜다. 프리스비 건대점은 Apple로부터 Apple 해결 방법 서비스 및 지원 위주로 우수한 고객 서비스를 제공하고 있다는 점을 인정받은 매장이다. 프리스비 건대점에서는 아이폰 맥북 아이패드뿐만 아니라 다양한 액세서리를 직접 구매하고 체험해 볼 수 있다. 이 밖에도 좀 더 Apple의 신상품을 빠르게 만나볼 수 있는 사전예약 이벤트를 통해 가격과 서비스 측면에서 혜택을 얻을 수 있다.,11:00~21:00 / 일요일 11:00~20:30,명절 휴무,제조자 이름: 입점브랜드:Apple(애플) 장애인 편의시설:건물 내 1층 장애인 화장실,쇼핑
KT&G 상상마당 디자인스퀘어,서울특별시 마포구 어울마당로 65 (서교동),37.5510133552,126.9210794712,KT&G 상상마당은 영화관 공연장을 비롯한 디자인스퀘어 갤러리 아카데미 사진암실과 카페가 있어 예술가들에게는 문화예술 창작 활동 지원을 일반인들에게는 문화 향유 기회를 제공하고 있는 복합문화공간이다. 홍대의 가장 중요한 랜드마크가 된 상상마당은 사회공헌 문화 사업이 이루어지는 공간이다. 영화 음악 디자인 등의 전방위에 걸쳐 왕성하게 활동을 펼쳐 나가는 상상마당의 대문이라 할 수 있다. 디자인스퀘어는 KT&G 상상마당 1층에 자리 잡고 있으며 상상력이 돋보이는 디자인 제품의 전시와 판매 공간으로 이루어져 있다. 디자인스퀘어의 메인섹션은 상상력들이 돋보이는 디자인 제품의 전시와 판매 공간으로 이루어져 있다. 이곳의 제품들은 직접 디자인하여 다른 곳에서는 볼 수 없는 상상마당만의 특별한 디자인으로 내국인들과 외국인들에게 사랑받고 있다. 최근에는 해외 관광객들의 쇼핑메카지역으로 떠오르면서 기념품으로 구입하기 좋은 작은 연필 명함첩 다이어리 노트 등의 문구류 및 팬시용품들이 인기를 모으고 있다.,11:00~21:00,연중무휴,,쇼핑
영풍문고 종로점,서울특별시 종로구 청계천로 41 지하 1층,37.5696567271,126.9821594881,영풍문고는 1992년 서울 종각에 위치한 영풍빌딩 내에 국내 최대 규모의 종로점을 시작으로 현재 서울시내와 지방 지역을 대표하는 서점이다. 다양한 도서와 편안한 쇼핑 공간을 제공한다. 최신 베스트셀러부터 고전 전공서적 아동서적 외서 등 다양한 분야의 책을 한자리에서 만날 수 있다. 또한 도서뿐만 아니라 문구류 선물용품 음반 등 다양한 상품을 함께 취급하여 방문객들이 여러 가지를 한 번에 구입할 수 있다. 낭독회 사인회 강좌 등 문화행사나 강연 등도 진행되어 책을 사랑하는 이들에게는 더욱 매력적인 장소이다. 종로의 중심에 위치해 있어 접근성도 뛰어나며 많은 사람들이 찾는 문화 명소로 자리 잡고 있다.,10:00~22:00,연중무휴,제조자 이름: 장애인 편의시설:,쇼핑
서울 광희시장,서울특별시 중구 마장로1길 21,37.5686851518,127.0119012497,서울 광희시장은 서울특별시 중구에 위치한 전통 재래시장으로 다양한 생활용품과 먹거리를 제공하는 곳이다. 생산자와 소비자를 직접 연결하는 유통시스템의 도입으로 최신유행의 제품을 저렴한 가격에 소비자에게 공급하는 도시에 소비자의 요구를 만족시켜 준다. 국내에서 제작한 의류부터 수입의류. 각종 부자재 완제품까지 모든 최고의 상품을 저렴한 가격으로 서비스하고 있다.,점포별 상이함,점포별 상이함,,쇼핑
종로6가 대학천 책방거리,서울특별시 종로구 종로 258,37.5706514924,127.0064683558,대학천 책방거리는 새 책을 싸게 살 수 있는 오래된 골목으로 전국의 출판사와 소규모 서점들을 연결하는 중간 거래처였다. 일반인들에게 널리 알려진 청계천 헌책방거리와는 달리 대학천 책방거리는 많이 알려지지는 않았지만 전국의 1천 5백여 개 출판사와 3천여 개 서점을 연결해 주는 연결다리로 크고 작은 서점의 책들도 거의 이곳 총판을 거치게 된다. 전집류 단행본 잡지류가 주로 유통되고 일부 점포에서는 무협지와 만화책만 전문으로 파는 점포도 있다. 호황기였던 1980년대에는 80개가 넘는 가게들이 있었고 인터넷과 다양한 유통경로의 발달로 가게가 많이 없어졌으나 보유한 중고 책 수량이 많이 책 고르는 재미가 있다.,점포별 상이함,점포별 상이함,제조자 이름: 입점브랜드:,쇼핑
견지동 불교용품거리,서울특별시 종로구 우정국로 55,37.574478386,126.9819927,견지동 불교용품거리는 대한불교 조계종의 총본산인 조계사 입구에서 형성된 후 공평사거리와 인사동 일부까지 30여 개의 불교서적 및 불교용품 전문 판매점이 몰려있는 곳이다. 이곳에서 불교 서적 목탁 염주 승복 불상 향 등의 불교용품을 살 수 있다. 견지동 불교용품거리는 시민들의 자발적인 발굴과 보존을 원칙으로 시민 전문가 등이 제안해 사실 검증과 미래유산보존위원회의 심의를 거친 후 선정된 서울미래유산이다.,가게마다 상이,가게마다 상이,제조자 이름: 입점브랜드:,쇼핑
청오가방도매상가,서울특별시 종로구 청계천로 229,37.5701348234,127.0029909094,청오가방도매상가로 불리는 이곳은 행정구역상 종로 5가에 속하며 주변 가방상가와 함께 청계천 가방상가로 통칭한다. 1960년대부터 종로 5가와 청계천 주변에 들어서기 시작하여 번성했던 상가들이 청오빌딩으로 이전해 오면서 1 2층 매장에는 의류상가가 지하층과 3 4층은 가방 부속품 도매 상가가 입점했다. 청오가방상가는 자체 공장에서 제작한 고유모델의 가방을 전국의 소매상에게 도매할 뿐만 아니라 일부 점포들은 백화점에 가방을 납품하기도 한다. 여러 가방을 함께 팔기도 하지만 핸드백 서류 가방 여행 가방 학생 가방 등 한두 가지 품목 위주로 파는 전문점이 많다. 유치원 가방 학원 가방 전문점뿐만 아니라 천으로 만든 도시락 가방 등 소품 전문점도 있다.,전화 문의,전화 문의,,쇼핑
남대문 액세사리상가,서울특별시 중구 남대문시장4길 21,37.5591939725,126.9776157542,남대문 시장에는 옷과 수입품 못지않게 단일품목으로 규모가 큰 액세서리 상가가 있다. 퇴계로변 남대문시장 쪽에 연세 상가 영창 장안 원랭땅 남문 렝땅 유성상가 실 로암상가 등이 몰려 있다. 남대문로 시장쪽에 우주상가 삼호마게트가 있다. 이들 상가에서는 약 2천여곳의 악세 사리 전문점이 들어서 있는데 이는 국내에서 가장 큰 규모이다. 한 품목만 전문으로 파는 점포가 많으며 금 은도금 천연소재 플라스틱등 머리핀에서 발 목걸이까지 신체 및 의류 모자 등에 사용되는 모든 종류를 직접 제조판매함에 따 라 국내는 물론 세계시장에도 전문악세사리 상가로 유명하다.,점포별 상이함,점포별 상이함,,쇼핑
노량진수산물도매시장,서울특별시 동작구 노들로 674,37.5148539488,126.9368207234,노량진수산시장은 1927년에 지금의 서울역 옆 의주로에서 태동하여 90여 년의 긴 역사를 자랑하는 우리나라 내륙지 최대의 수산물 전문 도매시장이다. 1971년 노량진에 도매시장을 신축하였고 2002년 어민 소득증대와 수산업 발전을 도모하는 수협이 시장을 인수하여 노량진수산시장 현대화사업을 진행하면서 유통과 문화가 공존하는 우리나라 대표 수산물 도매시장으로 재탄생하였다. 수도권 거래량의 50%를 점유하는 노량진수산물도매시장은 하루 거래되는 수산물 물량이 약 250~300톤가량이다. 수산물 시세는 그날 들어오는 물량에 따라 값이 결정되기 때문에 홈페이지를 통해 경매시세를 확인하는 것이 좋고 소매시세는 경매시세보다 10~20% 정도 높다. 도매와 소매가 혼재되어 있는 노량진수산시장에서 새벽 1시부터 시작되는 경매는 많은 볼거리를 제공한다. 특히 3시에 진행되는 활어경매는 새벽시장의 활기찬 모습을 엿볼 수 있어 삶의 활력을 불러일으킨다.,[경매] 패류뷰류 01:00~ 고급선어 01:30~ 대중부류 00:00~ 고급활어 03:00~ 냉동부류 03:00~ [판매(도소매)] 고급 00:00~24:00 대중 01:30~22:00 냉동 03:30~22:00 패류 01:00~22:00 건어 23:00~19:00 젓갈 03:00~19:00,[경매] 매주 일요일 / 1월 1일 / 설·추석 연휴 [판매(도소매)] 연중무휴,입점브랜드:수협은행 / 새마을금고 / 수협 바다마트 / 수산물소매점 680여 개,쇼핑
서울 중부시장,서울특별시 중구 을지로36길 35,37.5651409407,127.0019383691,서울 중부시장은 서울특별시 중구에 위치한 전통적인 재래시장으로 다양한 상품과 먹거리를 제공하는 곳이다. 중부시장은 다양한 음식 의류 생필품 등을 판매하는 상점들이 밀집해 있어 쇼핑과 먹거리를 동시에 즐길 수 있는 명소로 유명하다. 이곳은 특히 김 미역 조기 멸치 오징어 북어 쥐포 등 마른반찬 재료로 쓰이는 건어물들을 저렴한 가격에 살 수 있다. 또한 시장 내에서는 지역 주민들과의 소통과 활기찬 분위기를 느낄 수 있어 서울의 옛 정취를 경험할 수 있는 특별한 장소이다.,점포별 상이함,점포별 상이함,,쇼핑
세브도르,서울특별시 강남구 언주로 431,37.478954545,127.0474283341,서울에서 술만 전문으로 파는 전문점이 생겨 손님을 맞기 시작한 때가 1990년 9월이다. 세브도르는 이제 애주가들 사이에 꽤 알려진 곳이다. 이곳에는 국내 업체에서 생산하는 민속주 소주 맥주 와인 양주 등은 물론 동·서유럽 각국과 미국 일본 중국 대만 소련 등지의 와인 위스키 코냑 진 보드카 등 모두 1 000여 종 이상의 진귀한 술이 전시 및 판매되고 있다. 이곳에서는 정찰제를 실시한다. 이곳의 정찰가격은 시중 소매점이나 백화점에 비해 싼 편이다. 세일은 보통 추석이나 설 등 성수기가 지난 후에 실시하는데 성수기라도 단체로 구입하는 경우에는 정찰가격보다 싸게 살 수 있다.,평일 09:00~24:00 주말 12:00~22:00,연중무휴,,쇼핑
인사동 고미술거리,서울특별시 종로구 인사동길 29,37.5732591505,126.9857423926,인사동 고미술거리는 인사동에서 고미술품을 거래하는 점포가 모여있는 거리이다. 현재 인사동 사거리에서 고미술품을 거래하는 점포는 70군데이다. 거래되는 고미술품에는 옛 그림 도자기 목기 금속품이 있다. 통일신라시대의 토기에서부터 조선시대 백자에 이르기까지 골고루 갖추고 있다. 고미술 가게에 따라 각각 고가구 미술품 소품류를 전문으로 하는 곳으로 나뉜다. 특별하게 어느 가게의 물건이 좋고 고가품이라는 기준은 없다. 여기서는 집안의 고미술품을 내다 팔거나 바꿀 수도 있다. 통인가게 건너편 2층에 있는 고미술 경매 주식회사에서는 경매를 주선하며 거래가 이루어지면 매매가의 10%를 수수료로 받을 수 있다. 고미술 경매 주식회사에서는 한 해에 몇 차례씩 고미술품 소장가들의 명품 전시회를 열고 있다.,점포마다 상이,점포마다 상이,제조자 이름: 입점브랜드:,쇼핑
경일문화가게,서울특별시 종로구 인사동4길 17,37.5738340983,126.9865478589,경일문화가게는 한국 전통 상품과 대표 상품을 제작하고 판매하는 곳으로 인사동에 위치해 있다. 한국의 멋을 느끼기 위해 인사동을 찾는 시민과 외국인 관광객들에게 기념품을 주로 판매하고 있다. 자개로 만든 명함케이스나 거울대 전통 그림을 넣은 부채 등 한국 전통의 문양과 멋을 느낄 수 있어서 상품이 있어 관광 기념품으로 인기가 많다. 오프라인 매장과 온라인 매장도 갖추고 있어서 매장에서 본 상품을 온라인으로 구매할 수도 있다.,10:00~18:00,매주 일요일,제조자 이름: 입점브랜드:,쇼핑
서울 약령시장,서울특별시 동대문구 약령중앙로 10,37.5791427223,127.0370431067,약령시(藥令市)는 원래 조선 효종 때 귀한 한약재의 수집을 위해 주요 약재 생산지에 관찰사를 상주시키고 왕명으로 만든 약재상 집결지이다. 그 당시에는 약재의 채취 수확 시기에 맞추어 춘령시와 추령시로 1년에 두 번 열리는 계절장이었다. 현재는 서울약령시 이외에도 대구 제천 등 전국에 여러 약령시가 있지만 서울약령시가 규모나 역사로 볼 때 가장 큰 시장이다. 현대적인 서울약령시의 역사는 1960년대 중반으로 거슬러 올라간다. 서울 동부 도심권의 교통 요충지인 청량리역과 마장동 시외버스터미널을 중심으로 한약 상인들이 하나둘 모여들면서 구성되었다. 한국전쟁 이후 경기도와 강원도 일대의 농민들이 생산하거나 채취해 온 농산물과 채소 및 임산물들이 옛 성동역(城東驛 현 한솔동의보감)과 청량리역을 통해 몰려들어 그 반입과 판매를 위해 인근 논을 매립한 공터에서 장사를 벌이기 시작하면서부터 자연히 시장이 형성된 것이 서울약령시의 시초이다. 1960년 6월 공설시장 개설 허가를 받은 후 서울 시내에서 모든 농산물을 골고루 갖춘 가장 싸게 파는 시장으로 자리를 잡았으며 특히 한약재의 주산지인 강원도 등과 철도 및 도로로 편리하게 연결되면서 급속히 발전하여 1960년대 후반에는 한약재 등의 특종 물품을 취급하는 전문시장으로 변모하게 되었다. 지금과 같은 규모와 상품 구색을 갖추게 된 것은 1970년대이다. 종로 4가와 종로 5가에 모여 있던 전통적인 토박이 약재상들이 이곳으로 이사 오면서 서울약령시가 약재 집산지 역할을 담당하게 되었다. 1970년대부터는 전국적으로 명성이 알려지면서 시장은 급격히 확대되었고 1980년 8월에는 시장 근대화 사업을 촉진시켜 근대 시장으로서의 면모를 갖추게 되었다. 1983년부터는 인삼과 꿀까지 취급하면서 서울에서 소비되는 인삼과 꿀의 약 4분의 3 전국 한약재의 약 3분의 2가 서울약령시를 통해 유통되고 있다. 이러한 변천 과정을 거쳐 서울약령시는 전국에서 가장 큰 한약재 시장으로 자리를 잡았을 뿐만 아니라 세계적인 약재시장으로 커나가고 있다. 그래서 중국과 대만 홍콩 일본 뉴질랜드 같은 나라들과 활발한 수출입 활동을 벌이고 있다. 서울약령시장이 ‘서울약령시’라는 정식 명칭을 부여받은 것은 1995년 6월이었다. ‘서울약령시(전통한약시장지역)’로 지정된 이후 한약과 관련된 다양하고 새로운 시설과 제도들을 마련하고 운영하고 있다.,09:00~18:00,점포별 상이함,,쇼핑
을지로 철제가구거리,서울특별시 중구 을지로,37.5672683908,126.9974609396,을지로가구거리는 필요한 가구를 저렴하게 살 수 있는 거리이다. 을지로가구거리가 다른 가구거리와 다른 점은 상업용 가구들이 많다는 것이 특징이다. 몇 년 전 크게 유행했던 철제가구의 인기가 떨어지면서 여러 가지 가구를 함께 취급하는 가구 전문점이 들어서고 있고 그 사이로 유명 업체 가구점들도 하나둘씩 들어서고 있다. 철제가구는 목제가구에 비해 값이 싸고 튼튼하므로 사무자동화용 가구로 많이 찾는다. 일반 소비자들이 사무용 가구를 한두 개 살 때는 동네가구점보다 10% 정도 싸게 살 수 있다. 사무용 철제책상은 10만 원 부터 20만 원 선이다. 의자는 2만 원 부터 30만 원대까지 있다. 또한 이곳에는 자체 공장을 가진 가게가 많아서 싼값에 직거래할 수 있다는 이점이 있다. 주로 중소업체들인데 의자 책상 등 단일 품목 위주로 생산한다. 자체 생산이 되지 않는 가구류는 다른 공장에서 납품받아 팔고 있다. 주변 조명거리와도 연결되어 있고 인테리어 관련 다양한 가구도 만나볼 수 있다. 황학동 일대가 중고 가구를 판매한다면 을지로는 신제품 판매장이다. 상업용 가구라고 하지만 가정에서도 사용할 수 있는 가구도 있으며 다양한 제품들을 한눈에 볼 수 있다.,점포마다 상이,점포마다 상이,제조자 이름: 입점브랜드:,쇼핑
롯데월드 쇼핑몰,서울특별시 송파구 올림픽로 300 (신천동),37.5141653654,127.1040749597,쇼핑몰이 위치한 단지 내에 세계최대의 실내주제공원인 롯데월드 어드벤처 및 우리 민족의 문화와 민속을 쉽게 접할 수 있는 민속박물관 그리고 연중무휴로 연인과 가족이 함께 스케이트를 즐길 수 있는 아이스링크 및 실내수영장 볼링장 스포츠센터 등이 있다. 또한 백화점과 롯데마트도 같이 있어 문화와 쇼핑 여가생활을 동시에 즐길 수 있는 명소이다.,10:30~20:00,연중무휴,,쇼핑
롯데면세점 본점,서울특별시 중구 을지로 30 (소공동),37.5654016461,126.981045821,서울 중심부에 위치해 있는 롯데면세점 본점은 다양한 브랜드 및 다양한 상품을 보유하고 있는 쇼핑의 중심지이다. 롯데백화점 본점9층 10층 11층에 위치해 있으며 LOUIS VUITTON CHANEL HERMES CARTIER TIFFANY PRADA GUCCI BOTTEGA VENETA PRADA 등 최고 명품 브랜드들이 입점해 있다.,09:30~20:00,연중무휴,,쇼핑
종로3가 귀금속 전문상가,서울특별시 종로구 종로3가,37.5705317976,126.9917474779,종로 귀금속 거리는 국내 최대 규모의 귀금속 전문 상가이다. 1960년대부터 예지동을 중심으로 그 범위가 확장되면서 종로 전체를 아우르고 있으며 오랜 전통의 귀금속 상가이다. 종로3가역에서 내려 단성사 옆 골목으로 가다 보면 수많은 귀금속 상점이 줄이어선 골목길을 쉽게 찾을 수 있다. 상가 수가 3 000여 개에 달하며 지금도 전국 주얼리 물동량의 70%를 차지할 만큼 활발한 거래가 이루어지고 있다. 시중가보다 약 20~40% 저렴한 가격으로 귀금속을 구매할 수 있어 실속파에게 인기가 많다. 특히 단성사는 11층 가운데 지상 3층에서 지하 1층까지를 귀금속 센터로 꾸며 약 500개의 귀금속 매장을 입점시켰다. 젊은 사람들이 많이 찾으며 혼수품을 구매하는 예비부부의 발걸음이 잦을 뿐만 아니라 단순 쇼핑을 즐기는 젊은 층의 발길도 잦다. 또한 외국인들의 쇼핑 코스로도 인기를 끌고 있다.,매장마다 상이,매장마다 상이,제조자 이름: 입점브랜드:,쇼핑
한국의집 사랑 카페앤아트샵,서울특별시 중구 퇴계로36길 10 (필동2가),37.5602774831,126.9945141838,한국문화재재단은 상품개발을 통한 전통고예의 전승 보존과 전통문화의 국내외 홍보에 이바지하며 우리 문화의 세계적 상품화에 주도적인 역할을 하고 있다. 한국문화재재단에서 개발하는 전통문화상품은 전통문양을 응용하고 한국적 조형미를 살려 전통공예기법에 따라 제작한 것들로 우리 고유문화의 이미지를 듬뿍 담고 있다. 한국의 집 카페 앤 아트숍은 전통문화상품을 판매와 동시에 차를 마시고 쉴 수 있는 카페 전통혼례 관련 상담을 하실 수 있는 복합문화공간이다. 문화상품으로는 도자기 나전칠기 화각공예품 한지공예품 섬유공예품 옥공예품 옻칠 및 목공예품 금속공예품 등을 만나볼 수 있다. 한국의 집 사랑 카페 앤 아트숍에서 세계적인 명품으로 손색없는 고품격 한국의 전통문화상품을 만나보자.,10:00~19:00,매주 월요일,제조자 이름: 입점브랜드:,쇼핑
고투몰(강남터미널 지하쇼핑몰),서울특별시 서초구 신반포로 지하200 (잠원동),37.5062728353,127.0050675283,고속터미널역 지하에 위치한 쇼핑몰로 강남터미널 쇼핑몰이라고도 불린다. 패션 뷰티 액세서리 등 다양한 상품의 매장들이 입점해 있어 쇼핑의 즐거움을 더한다. 특히 최신 트렌드를 반영한 브랜드와 가성비 좋은 아이템들이 많아 젊은 층에게 인기가 높다. 또한 편리한 교통 접근성 덕분에 많은 관광객과 지역 주민들이 자주 찾는 명소이다.,10:00~22:00,설·추석 당일,,쇼핑
